gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
22400260,1610612765,Detroit,Pistons,DET,pistons,265:00,19.8,36,50,84,424,6,1,285,30,14,32,0.438,28,67,0.418,0.424,13,18,0.722
22400262,1610612759,San Antonio,Spurs,SAS,spurs,240:00,18.43,22,67,88,420,4,6,298,32,20,35,0.571,21,53,0.396,0.466,22,35,0.629
22400262,1610612762,Utah,Jazz,UTA,jazz,240:00,19.13,36,57,88,457,4,2,327,22,17,36,0.472,24,62,0.387,0.418,23,33,0.697
22400261,1610612761,Toronto,Raptors,TOR,raptors,240:00,18.82,23,63,82,409,0,6,291,22,13,29,0.448,24,43,0.558,0.514,17,23,0.739
22400261,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,18.31,29,46,68,392,2,2,271,16,15,26,0.577,18,54,0.333,0.413,22,27,0.815
22400263,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,17.47,20,55,72,414,4,2,296,21,19,36,0.528,25,51,0.49,0.506,21,30,0.7
22400263,1610612753,Orlando,Magic,ORL,magic,240:00,18.01,40,54,90,377,3,3,259,31,19,39,0.487,24,52,0.462,0.473,21,27,0.778
22400028,1610612764,Washington,Wizards,WAS,wizards,240:00,18.34,31,60,86,388,2,2,259,19,21,42,0.5,18,48,0.375,0.433,13,20,0.65
22400028,1610612738,Boston,Celtics,BOS,celtics,240:00,17.74,25,59,83,394,3,3,268,22,14,21,0.667,22,64,0.344,0.424,18,32,0.563
22400027,1610612755,Philadelphia,76ers,PHI,sixers,240:00,17.73,31,48,79,393,3,3,278,25,13,31,0.419,28,61,0.459,0.446,17,19,0.895
22400027,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.23,27,56,82,416,1,1,300,28,15,25,0.6,24,54,0.444,0.494,16,33,0.485
22400030,1610612741,Chicago,Bulls,CHI,bulls,240:00,19.12,17,65,79,455,6,4,331,36,20,30,0.667,29,56,0.518,0.57,24,40,0.6
22400030,1610612737,Atlanta,Hawks,ATL,hawks,240:00,19.46,32,41,73,473,5,4,332,32,19,45,0.422,30,62,0.484,0.458,19,26,0.731
22400031,1610612745,Houston,Rockets,HOU,rockets,240:00,18.2,36,73,106,380,4,2,247,27,17,40,0.425,25,53,0.472,0.452,15,26,0.577
22400031,1610612757,Portland,Trail Blazers,POR,blazers,240:00,18.82,39,56,91,421,4,1,295,17,15,38,0.395,15,53,0.283,0.33,22,35,0.629
22400032,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,18.71,35,55,86,468,3,1,344,28,14,26,0.538,27,66,0.409,0.446,19,30,0.633
22400032,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.78,39,60,92,433,7,3,311,27,17,34,0.5,22,53,0.415,0.448,15,21,0.714
22400029,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,18.25,24,56,77,421,3,3,298,33,12,30,0.4,36,60,0.6,0.533,22,35,0.629
22400029,1610612754,Indiana,Pacers,IND,pacers,240:00,18.94,26,51,75,452,6,3,324,30,13,33,0.394,30,58,0.517,0.473,16,27,0.593
22400033,1610612743,Denver,Nuggets,DEN,nuggets,240:00,17.55,27,54,80,461,5,9,334,33,23,45,0.511,20,45,0.444,0.478,22,34,0.647
22400033,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,17.68,34,64,92,398,4,5,274,24,26,45,0.578,20,46,0.435,0.505,19,32,0.594
22400034,1610612746,LA,Clippers,LAC,clippers,240:00,17.87,36,63,94,404,2,2,284,27,14,32,0.438,25,62,0.403,0.415,13,24,0.542
22400034,1610612758,Sacramento,Kings,SAC,kings,240:00,18.28,23,69,92,403,2,2,284,19,13,29,0.448,19,53,0.358,0.386,19,27,0.704
22400266,1610612741,Chicago,Bulls,CHI,bulls,240:00,18.97,21,43,62,431,1,0,306,29,22,40,0.55,27,57,0.474,0.505,23,29,0.793
22400266,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,19.96,29,58,84,443,8,2,322,38,19,33,0.576,36,63,0.571,0.573,22,36,0.611
22400265,1610612753,Orlando,Magic,ORL,magic,240:00,17.82,32,52,82,415,1,5,292,25,17,34,0.5,23,53,0.434,0.46,12,21,0.571
22400265,1610612765,Detroit,Pistons,DET,pistons,240:00,17.75,23,52,74,361,1,2,247,16,17,37,0.459,18,38,0.474,0.467,20,29,0.69
22400269,1610612759,San Antonio,Spurs,SAS,spurs,240:00,18.19,26,67,89,417,4,3,305,29,12,17,0.706,26,68,0.382,0.447,17,33,0.515
22400269,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.43,40,57,95,472,9,1,349,29,14,38,0.368,22,57,0.386,0.379,16,19,0.842
22400267,1610612745,Houston,Rockets,HOU,rockets,240:00,18.27,30,67,96,387,2,2,258,17,14,36,0.389,18,54,0.333,0.356,13,29,0.448
22400267,1610612757,Portland,Trail Blazers,POR,blazers,240:00,18.52,41,68,108,379,1,4,246,16,13,35,0.371,21,54,0.389,0.378,15,28,0.536
22400270,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,17.65,21,35,51,430,6,1,313,27,14,23,0.609,25,65,0.385,0.443,25,31,0.806
22400270,1610612743,Denver,Nuggets,DEN,nuggets,240:00,17.63,13,61,73,425,2,5,304,37,22,31,0.71,28,51,0.549,0.61,17,23,0.739
22400264,1610612762,Utah,Jazz,UTA,jazz,240:00,18.53,25,70,95,426,3,2,300,30,17,41,0.415,27,46,0.587,0.506,12,23,0.522
22400264,1610612752,New York,Knicks,NYK,knicks,240:00,17.79,24,48,71,405,1,2,278,25,9,26,0.346,30,74,0.405,0.39,19,33,0.576
22400271,1610612738,Boston,Celtics,BOS,celtics,240:00,17.19,20,57,74,394,7,3,287,25,9,18,0.5,28,69,0.406,0.425,19,25,0.76
22400271,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,17.92,29,56,83,368,1,1,253,19,19,33,0.576,18,55,0.327,0.42,11,17,0.647
22400275,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18.57,28,66,89,419,5,1,289,27,21,39,0.538,27,58,0.466,0.495,17,30,0.567
22400275,1610612761,Toronto,Raptors,TOR,raptors,240:00,19.01,42,62,102,433,2,3,297,22,14,35,0.4,23,57,0.404,0.402,22,33,0.667
22400276,1610612758,Sacramento,Kings,SAC,kings,240:00,18.17,26,48,70,417,3,1,297,21,19,33,0.576,18,44,0.409,0.481,11,16,0.688
22400276,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.23,16,44,56,405,4,1,298,24,14,27,0.519,22,48,0.458,0.48,17,25,0.68
22400274,1610612755,Philadelphia,76ers,PHI,sixers,240:00,18.22,31,42,69,435,2,1,312,22,11,28,0.393,23,58,0.397,0.395,25,33,0.758
22400274,1610612746,LA,Clippers,LAC,clippers,240:00,17.72,22,65,86,388,5,4,276,31,17,27,0.63,30,54,0.556,0.58,21,28,0.75
22400284,1610612744,Golden State,Warriors,GSW,warriors,240:00,18.54,34,50,79,445,2,1,315,32,18,36,0.5,27,56,0.482,0.484,10,20,0.5
22400284,1610612751,Brooklyn,Nets,BKN,nets,240:00,18.95,19,62,78,411,6,1,295,23,13,30,0.433,28,52,0.538,0.494,22,32,0.688
22400285,1610612758,Sacramento,Kings,SAC,kings,240:00,18.39,27,39,64,410,4,2,293,24,23,39,0.59,19,48,0.396,0.483,16,21,0.762
22400285,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,18.43,33,52,83,399,1,1,282,28,20,33,0.606,28,53,0.528,0.558,18,24,0.75
22400283,1610612743,Denver,Nuggets,DEN,nuggets,240:00,17.67,20,42,61,411,2,4,289,23,16,38,0.421,25,54,0.463,0.446,24,26,0.923
22400283,1610612752,New York,Knicks,NYK,knicks,240:00,18.02,20,58,78,433,5,1,315,45,25,33,0.758,31,59,0.525,0.609,18,29,0.621
22400279,1610612754,Indiana,Pacers,IND,pacers,240:00,18.79,19,49,65,479,6,2,360,30,14,27,0.519,29,64,0.453,0.473,22,26,0.846
