gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
22300174,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,117,52,28,24,6,0,9,20,3,1,4,1,9,10,3,10
22300174,1610612761,Toronto,Raptors,TOR,raptors,240.000000:00,94,44,16,28,13,0,8,18,3,3,6,2,3,5,2,5
22300175,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,109,48,28,20,11,0,4,11,4,2,6,3,7,8,7,10
22300175,1610612748,Miami,Heat,MIA,heat,240.000000:00,117,33,16,17,23,1,11,26,5,2,7,2,4,4,3,6
22300176,1610612744,Golden State,Warriors,GSW,warriors,240.000000:00,110,45,29,16,15,1,12,28,4,1,5,2,6,7,4,8
22300176,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240.000000:00,118,45,23,22,21,0,8,18,4,3,7,0,9,9,5,9
22300173,1610612753,Orlando,Magic,ORL,magic,240.000000:00,112,48,27,21,15,1,5,10,4,3,7,4,5,9,4,9
22300173,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,97,40,29,11,19,0,4,8,5,2,7,1,6,7,4,7
22300187,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,116,47,29,18,17,1,15,31,1,5,6,0,4,4,1,4
22300187,1610612757,Portland,Trail Blazers,POR,blazers,240.000000:00,110,46,38,8,7,1,13,28,2,2,4,1,3,4,2,4
22300186,1610612744,Golden State,Warriors,GSW,warriors,240.000000:00,110,41,24,17,11,0,15,40,7,2,9,3,7,10,7,10
22300186,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240.000000:00,116,42,24,18,17,0,9,20,2,0,2,3,16,19,14,19
22300185,1610612756,Phoenix,Suns,PHX,suns,240.000000:00,99,45,32,13,17,0,9,19,4,2,6,5,3,7,4,8
22300185,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,111,61,40,21,16,1,15,24,3,3,6,1,7,5,2,8
22300181,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,119,49,30,19,17,0,13,29,0,3,3,4,4,7,7,8
22300181,1610612765,Detroit,Pistons,DET,pistons,240.000000:00,108,57,43,14,8,1,5,11,4,2,6,2,5,7,5,7
22300184,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,113,50,33,17,6,0,6,15,2,3,5,1,0,1,0,1
22300184,1610612748,Miami,Heat,MIA,heat,240.000000:00,118,54,28,26,20,0,6,13,1,4,5,0,2,2,0,2
22300183,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,124,56,28,28,13,0,8,20,3,3,6,1,11,12,6,12
22300183,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,136,37,26,11,12,1,7,19,4,2,6,0,7,7,4,7
22300182,1610612745,Houston,Rockets,HOU,rockets,240.000000:00,107,45,28,17,13,0,9,20,5,4,9,6,7,13,9,13
22300182,1610612743,Denver,Nuggets,DEN,nuggets,240.000000:00,104,45,28,17,13,0,15,35,4,2,6,4,4,8,7,8
22300180,1610612755,Philadelphia,76ers,PHI,sixers,240.000000:00,137,32,20,12,12,0,17,41,4,3,7,3,7,10,5,10
22300180,1610612754,Indiana,Pacers,IND,pacers,240.000000:00,126,43,30,13,16,0,13,29,4,6,10,0,0,0,0,0
22300179,1610612746,LA,Clippers,LAC,clippers,240.000000:00,101,48,32,16,21,0,6,14,1,1,2,0,5,5,2,5
22300179,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,105,51,33,18,11,1,3,8,3,0,3,1,4,5,2,5
22300178,1610612751,Brooklyn,Nets,BKN,nets,240.000000:00,102,42,23,19,8,0,9,21,5,1,6,2,2,3,2,4
22300178,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,94,45,27,18,15,0,9,22,0,4,4,0,0,0,0,0
22300177,1610612752,New York,Knicks,NYK,knicks,240.000000:00,129,49,27,22,12,1,15,37,3,3,6,3,4,7,5,7
22300177,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,107,46,32,14,10,1,13,29,2,2,4,3,3,6,4,6
22300191,1610612758,Sacramento,Kings,SAC,kings,240.000000:00,132,41,23,18,15,0,16,40,3,1,4,0,5,4,2,5
22300191,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240.000000:00,120,30,15,15,9,0,15,36,2,0,2,1,7,8,3,8
22300189,1610612761,Toronto,Raptors,TOR,raptors,240.000000:00,111,37,32,5,17,0,7,14,2,4,6,4,8,12,9,12
22300189,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,107,42,32,10,15,0,3,6,4,3,7,1,13,12,4,14
22300190,1610612749,Milwaukee,Bucks,MIL,bucks,240.000000:00,118,51,29,22,17,0,4,9,3,2,5,4,5,9,5,9
22300190,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,109,49,21,28,22,0,2,4,1,3,4,2,6,8,7,8
22300188,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,114,48,32,16,24,0,4,9,3,4,7,1,12,13,4,13
